"job_title","avg_salary","salary_stddev","employee_count"
"software engineer iii","85194.67","56309.29","3"
"engineer iii","78445.00","55420.91","3"
"geologist iv","90653.75","53833.83","4"
"human resources assistant i","82216.00","48413.21","3"
"programmer iv","101778.63","47522.64","8"
"internal auditor","105422.33","43540.98","6"
"geologist iii","85974.50","43071.03","4"
"programmer iii","96188.33","43055.16","3"
"help desk technician","99142.14","43028.91","7"
"software test engineer iv","115582.67","42929.35","3"
"systems administrator iii","99562.00","42809.17","4"
"paralegal","92016.43","42467.21","7"
"programmer analyst iii","118476.00","42422.89","3"
"accounting assistant iv","85876.33","42405.92","3"
"chemical engineer","96351.17","41745.63","12"
"data coordiator","86785.38","41287.76","8"
"professor","93780.00","41032.84","6"
"marketing manager","86307.25","40865.18","4"
"nurse practicioner","106868.57","39698.88","7"
"analog circuit design manager","96302.71","38716.89","7"
"associate professor","104504.43","38512.62","7"
"automation specialist i","85837.60","38175.73","5"
"account executive","90158.50","38139.92","6"
"human resources assistant iii","76805.33","38015.97","3"
"operator","92796.27","37885.85","11"
"project manager","96158.00","37576.91","6"
"product engineer","108527.31","37494.95","13"
"marketing assistant","97867.27","36955.42","11"
"help desk operator","99661.08","36800.61","12"
"speech pathologist","113597.00","36664.77","6"
"vp sales","88331.33","36594.93","6"
"analyst programmer","93929.78","36419.47","9"
"payment adjustment coordinator","81744.33","36381.86","9"
"general manager","98169.38","36356.65","8"
"database administrator i","92620.80","36228.93","5"
"nurse","91099.50","36206.02","10"
"assistant media planner","94074.91","36070.18","11"
"biostatistician i","85358.75","35802.74","4"
"health coach iv","83760.33","35795.62","3"
"accountant iv","96394.80","35683.45","5"
"senior sales associate","91265.88","35435.59","8"
"desktop support technician","94835.75","35214.81","8"
"sales representative","93155.60","34996.46","10"
"technical writer","96375.83","34884.15","12"
"environmental specialist","92193.40","34706.06","10"
"research associate","100593.50","34576.36","10"
"tax accountant","78848.63","34486.10","8"
"account coordinator","106223.43","34092.48","7"
"dental hygienist","99748.57","33694.55","7"
"vp accounting","99005.64","33568.03","11"
"developer iv","84770.00","33346.38","5"
"mechanical systems engineer","86961.67","33171.81","6"
"registered nurse","82991.47","33054.07","15"
"geological engineer","102759.13","32949.62","8"
"assistant professor","122575.50","32905.79","8"
"database administrator iii","86402.00","32872.62","3"
"administrative officer","90566.13","32469.70","8"
"vp product management","92217.92","32455.63","13"
"pharmacist","90340.56","32368.14","9"
"web developer i","104149.60","32325.04","5"
"health coach i","92017.20","32314.68","5"
"design engineer","120353.43","32286.20","7"
"senior quality engineer","92588.50","32274.52","10"
"gis technical architect","99513.36","32098.64","11"
"safety technician i","113471.33","31977.57","3"
"executive secretary","116944.18","31798.27","11"
"programmer i","112096.00","31647.80","3"
"senior cost accountant","93644.78","31646.70","9"
"electrical engineer","86984.00","31586.07","16"
"accountant iii","101324.80","31576.94","5"
"financial advisor","104187.75","31428.55","12"
"social worker","103869.00","31325.09","11"
"accountant i","88546.40","31243.49","5"
"quality engineer","76032.75","31212.44","8"
"engineer i","89262.00","31145.01","3"
"cost accountant","101681.00","31074.10","10"
"food chemist","85369.25","30881.17","8"
"research nurse","101118.30","30535.78","10"
"recruiting manager","104708.58","30120.67","12"
"software consultant","100487.38","30087.53","8"
"web developer iii","107635.80","29807.91","5"
"senior developer","92454.58","29748.64","12"
"business systems development analyst","96917.42","29580.94","12"
"senior financial analyst","107374.89","29471.60","9"
"structural engineer","97623.11","29293.21","9"
"graphic designer","98934.67","29088.49","12"
"structural analysis engineer","116647.11","28849.75","9"
"vp quality control","106353.71","28437.78","14"
"account representative i","94654.75","28436.03","4"
"nuclear power engineer","105982.43","28419.48","7"
"teacher","91171.56","28203.53","9"
"director of sales","114832.88","28059.91","8"
"compensation analyst","83021.29","27928.34","17"
"software test engineer i","89289.40","27723.03","5"
"sales associate","100114.00","27256.69","8"
"vp marketing","79163.29","27125.05","7"
"occupational therapist","91725.75","26954.18","12"
"account representative iv","100336.33","26464.83","3"
"accounting assistant i","88138.25","26362.24","4"
"account representative iii","105767.25","26326.71","4"
"accountant ii","108672.40","25973.98","5"
"community outreach specialist","85875.33","25810.02","12"
"librarian","96534.11","25809.61","9"
"clinical specialist","96835.86","25704.94","7"
"information systems manager","97199.63","25474.49","8"
"actuary","119459.40","25429.82","5"
"financial analyst","106134.40","25320.46","5"
"senior editor","94251.28","24041.64","18"
"civil engineer","98115.88","23981.92","8"
"web designer ii","95905.00","23904.42","4"
"engineer iv","112314.67","23567.82","3"
"computer systems analyst i","111222.80","23257.11","5"
"employees accountant iii","118254.00","22616.85","4"
"research assistant ii","110401.33","22391.65","6"
"legal assistant","117130.50","22240.54","6"
"quality control specialist","77042.00","21993.66","6"
"junior executive","107434.83","21700.22","6"
"editor","97325.50","21265.84","10"
"employees scientist","96716.78","20722.25","9"
"systems administrator i","124723.50","20529.28","4"
"systems administrator iv","81510.25","20496.61","4"
"database administrator ii","116470.67","18127.79","3"
"environmental tech","93167.86","17416.80","7"
"assistant manager","86737.86","17030.69","7"
"recruiter","86482.40","16237.37","5"
"office assistant iii","127716.00","15581.81","4"
"research assistant iii","119480.67","15319.08","3"
"biostatistician iii","67531.33","14666.35","3"
"safety technician iv","103168.25","14224.24","4"
"systems administrator ii","120415.00","12120.80","3"
"developer iii","113384.67","11155.00","3"
"human resources assistant ii","116014.67","9154.47","3"
"budget/accounting analyst iii","136634.25","7468.51","4"
"chief design engineer","115274.75","6943.00","4"
"office assistant iv","135416.33","4917.30","3"
"statistician iv","115770.25","3004.72","4"
"administrative assistant iii","83763.67","2632.14","3"
