"job_title","salary","department_name","salary_rank","salary_percentile","dept_avg_salary","salary_diff_from_avg"
"programmer iv",42602,"automotive","46",0,"99658.000000000000","-57056.000000000000"
"technical writer",44377,"automotive","45",0.022222222222222223,"99658.000000000000","-55281.000000000000"
"electrical engineer",45774,"automotive","44",0.044444444444444446,"99658.000000000000","-53884.000000000000"
"vp sales",47281,"automotive","43",0.06666666666666667,"99658.000000000000","-52377.000000000000"
"pharmacist",53964,"automotive","42",0.08888888888888889,"99658.000000000000","-45694.000000000000"
"biostatistician i",58555,"automotive","41",0.1111111111111111,"99658.000000000000","-41103.000000000000"
"community outreach specialist",63364,"automotive","40",0.13333333333333333,"99658.000000000000","-36294.000000000000"
"software test engineer i",66063,"automotive","39",0.15555555555555556,"99658.000000000000","-33595.000000000000"
"desktop support technician",67800,"automotive","38",0.17777777777777778,"99658.000000000000","-31858.000000000000"
"recruiting manager",69594,"automotive","37",0.2,"99658.000000000000","-30064.000000000000"
"senior editor",69936,"automotive","36",0.2222222222222222,"99658.000000000000","-29722.000000000000"
"environmental tech",71363,"automotive","35",0.24444444444444444,"99658.000000000000","-28295.000000000000"
"vp product management",79045,"automotive","34",0.26666666666666666,"99658.000000000000","-20613.000000000000"
"administrative assistant iii",82244,"automotive","33",0.28888888888888886,"99658.000000000000","-17414.000000000000"
"community outreach specialist",83177,"automotive","32",0.3111111111111111,"99658.000000000000","-16481.000000000000"
"marketing assistant",84356,"automotive","31",0.3333333333333333,"99658.000000000000","-15302.000000000000"
"tax accountant",86939,"automotive","30",0.35555555555555557,"99658.000000000000","-12719.000000000000"
"assistant manager",87134,"automotive","29",0.37777777777777777,"99658.000000000000","-12524.000000000000"
"senior editor",89969,"automotive","28",0.4,"99658.000000000000","-9689.000000000000"
"environmental tech",91296,"automotive","27",0.4222222222222222,"99658.000000000000","-8362.000000000000"
"analyst programmer",91932,"automotive","26",0.4444444444444444,"99658.000000000000","-7726.000000000000"
"sales associate",101006,"automotive","25",0.4666666666666667,"99658.000000000000","1348.000000000000"
"recruiting manager",101768,"automotive","24",0.4888888888888889,"99658.000000000000","2110.000000000000"
"electrical engineer",108378,"automotive","23",0.5111111111111111,"99658.000000000000","8720.000000000000"
"cost accountant",110589,"automotive","22",0.5333333333333333,"99658.000000000000","10931.000000000000"
"research assistant ii",111041,"automotive","21",0.5555555555555556,"99658.000000000000","11383.000000000000"
"gis technical architect",111689,"automotive","20",0.5777777777777777,"99658.000000000000","12031.000000000000"
"senior editor",113231,"automotive","19",0.6,"99658.000000000000","13573.000000000000"
"product engineer",115506,"automotive","18",0.6222222222222222,"99658.000000000000","15848.000000000000"
"graphic designer",116487,"automotive","17",0.6444444444444445,"99658.000000000000","16829.000000000000"
"software consultant",120875,"automotive","16",0.6666666666666666,"99658.000000000000","21217.000000000000"
"human resources assistant ii",121300,"automotive","15",0.6888888888888889,"99658.000000000000","21642.000000000000"
"structural engineer",126001,"automotive","14",0.7111111111111111,"99658.000000000000","26343.000000000000"
"computer systems analyst i",126485,"automotive","13",0.7333333333333333,"99658.000000000000","26827.000000000000"
"nurse",127521,"automotive","12",0.7555555555555555,"99658.000000000000","27863.000000000000"
"technical writer",128448,"automotive","11",0.7777777777777778,"99658.000000000000","28790.000000000000"
"office assistant iii",128885,"automotive","10",0.8,"99658.000000000000","29227.000000000000"
"developer i",129324,"automotive","9",0.8222222222222222,"99658.000000000000","29666.000000000000"
"administrative officer",130993,"automotive","8",0.8444444444444444,"99658.000000000000","31335.000000000000"
"vp product management",133612,"automotive","7",0.8666666666666667,"99658.000000000000","33954.000000000000"
"graphic designer",135326,"automotive","6",0.8888888888888888,"99658.000000000000","35668.000000000000"
"media manager ii",136448,"automotive","5",0.9111111111111111,"99658.000000000000","36790.000000000000"
"programmer iv",140194,"automotive","4",0.9333333333333333,"99658.000000000000","40536.000000000000"
"associate professor",141505,"automotive","3",0.9555555555555556,"99658.000000000000","41847.000000000000"
"marketing assistant",144724,"automotive","2",0.9777777777777777,"99658.000000000000","45066.000000000000"
"assistant professor",146167,"automotive","1",1,"99658.000000000000","46509.000000000000"
"programmer iv",42602,"baby","46",0,"99658.000000000000","-57056.000000000000"
