"job_title","avg_salary","employee_count"
"employees accountant iv","143223.00","1"
"employees accountant i","141513.00","1"
"software engineer iv","140996.00","1"
"budget/accounting analyst iii","136634.25","4"
"media manager ii","136448.00","2"
"office assistant iv","135416.33","3"
"office assistant i","133781.00","1"
"web developer iv","131655.00","2"
"database administrator iv","131152.00","1"
"developer i","129324.00","2"
"office assistant iii","127716.00","4"
"web developer ii","125320.00","2"
"systems administrator i","124723.50","4"
"accounting assistant iii","122902.50","2"
"assistant professor","122575.50","8"
"systems administrator ii","120415.00","3"
"design engineer","120353.43","7"
"computer systems analyst ii","120108.00","1"
"research assistant iii","119480.67","3"
"actuary","119459.40","5"
"programmer analyst iii","118476.00","3"
"employees accountant iii","118254.00","4"
"legal assistant","117130.50","6"
"executive secretary","116944.18","11"
"structural analysis engineer","116647.11","9"
"database administrator ii","116470.67","3"
"software engineer ii","116137.00","2"
"human resources assistant ii","116014.67","3"
"statistician iv","115770.25","4"
"software test engineer iv","115582.67","3"
"chief design engineer","115274.75","4"
"director of sales","114832.88","8"
"speech pathologist","113597.00","6"
"safety technician i","113471.33","3"
"developer iii","113384.67","3"
"engineer iv","112314.67","3"
"programmer i","112096.00","3"
"computer systems analyst i","111222.80","5"
"geologist i","110912.00","1"
"research assistant ii","110401.33","6"
"engineer ii","109449.00","1"
"accountant ii","108672.40","5"
"product engineer","108527.31","13"
"statistician ii","107986.50","2"
"web developer iii","107635.80","5"
"junior executive","107434.83","6"
"senior financial analyst","107374.89","9"
"nurse practicioner","106868.57","7"
"vp quality control","106353.71","14"
"account coordinator","106223.43","7"
"financial analyst","106134.40","5"
"nuclear power engineer","105982.43","7"
"statistician i","105887.00","2"
"account representative iii","105767.25","4"
"internal auditor","105422.33","6"
"recruiting manager","104708.58","12"
"associate professor","104504.43","7"
"financial advisor","104187.75","12"
"web developer i","104149.60","5"
"social worker","103869.00","11"
"administrative assistant i","103456.50","2"
"safety technician iv","103168.25","4"
"human resources manager","102923.00","2"
"geological engineer","102759.13","8"
"computer systems analyst iii","102361.00","1"
"programmer iv","101778.63","8"
"cost accountant","101681.00","10"
"developer ii","101599.00","1"
"biostatistician ii","101582.00","1"
"accountant iii","101324.80","5"
"research nurse","101118.30","10"
"research associate","100593.50","10"
"software consultant","100487.38","8"
"web designer i","100428.00","1"
"account representative iv","100336.33","3"
"sales associate","100114.00","8"
"dental hygienist","99748.57","7"
"help desk operator","99661.08","12"
"employees accountant ii","99653.00","2"
"systems administrator iii","99562.00","4"
"gis technical architect","99513.36","11"
"help desk technician","99142.14","7"
"vp accounting","99005.64","11"
"graphic designer","98934.67","12"
"budget/accounting analyst ii","98552.50","2"
"software engineer i","98525.50","2"
"general manager","98169.38","8"
"civil engineer","98115.88","8"
"marketing assistant","97867.27","11"
"structural engineer","97623.11","9"
"editor","97325.50","10"
"information systems manager","97199.63","8"
"business systems development analyst","96917.42","12"
"clinical specialist","96835.86","7"
"employees scientist","96716.78","9"
"librarian","96534.11","9"
"accountant iv","96394.80","5"
"technical writer","96375.83","12"
"chemical engineer","96351.17","12"
"analog circuit design manager","96302.71","7"
"programmer iii","96188.33","3"
"project manager","96158.00","6"
"web designer ii","95905.00","4"
"desktop support technician","94835.75","8"
"account representative i","94654.75","4"
"senior editor","94251.28","18"
"assistant media planner","94074.91","11"
"analyst programmer","93929.78","9"
"professor","93780.00","6"
"senior cost accountant","93644.78","9"
"web designer iii","93320.00","2"
"environmental tech","93167.86","7"
"sales representative","93155.60","10"
"operator","92796.27","11"
"database administrator i","92620.80","5"
"senior quality engineer","92588.50","10"
"senior developer","92454.58","12"
"vp product management","92217.92","13"
"environmental specialist","92193.40","10"
"health coach i","92017.20","5"
"paralegal","92016.43","7"
