"job_title","region_name","avg_salary","min_salary","max_salary","employee_count"
"accountant i","nova scotia","113507.00",113507,113507,"1"
"accountant i","southeast","110744.00",110744,110744,"1"
"accountant i","southwest","84826.00",60498,109154,"2"
"accountant i","northeast","48829.00",48829,48829,"1"
"accountant ii","northwest","133492.00",133492,133492,"1"
"accountant ii","southeast","110896.00",110896,110896,"1"
"accountant ii","nova scotia","106383.50",78433,134334,"2"
"accountant ii","southwest","86207.00",86207,86207,"1"
"accountant iii","nova scotia","122918.50",117962,127875,"2"
"accountant iii","british columbia","120800.00",120800,120800,"1"
"accountant iii","northwest","69993.50",51771,88216,"2"
"accountant iv","southwest","137911.00",137911,137911,"1"
"accountant iv","southeast","122843.00",122843,122843,"1"
"accountant iv","northwest","97607.00",97607,97607,"1"
"accountant iv","quebec","73553.00",73553,73553,"1"
"accountant iv","northeast","50060.00",50060,50060,"1"
"account coordinator","northeast","117596.33",60363,149586,"3"
"account coordinator","british columbia","110966.50",109004,112929,"2"
"account coordinator","quebec","102395.00",102395,102395,"1"
"account coordinator","southeast","66447.00",66447,66447,"1"
"account executive","quebec","133281.00",133281,133281,"1"
"account executive","nova scotia","117459.00",103237,131681,"2"
"account executive","southwest","72534.00",72534,72534,"1"
"account executive","northwest","50161.00",50161,50161,"1"
"account executive","southeast","50057.00",50057,50057,"1"
"accounting assistant i","northwest","103806.00",103806,103806,"1"
"accounting assistant i","southeast","103182.00",103182,103182,"1"
"accounting assistant i","northeast","72782.50",48892,96673,"2"
"accounting assistant ii","southeast","76731.00",76731,76731,"1"
"accounting assistant ii","northwest","54231.00",54231,54231,"1"
"accounting assistant iii","nova scotia","127291.00",127291,127291,"1"
"accounting assistant iii","british columbia","118514.00",118514,118514,"1"
"accounting assistant iv","southeast","85876.33",54470,134114,"3"
"account representative i","nova scotia","135786.00",135786,135786,"1"
"account representative i","british columbia","83165.00",83165,83165,"1"
"account representative i","southwest","79834.00",70814,88854,"2"
"account representative ii","northeast","49410.00",49410,49410,"1"
"account representative iii","northeast","131252.00",131252,131252,"1"
"account representative iii","northwest","125713.00",125713,125713,"1"
"account representative iii","southeast","83144.00",83144,83144,"1"
"account representative iii","quebec","82960.00",82960,82960,"1"
"account representative iv","southwest","116766.00",116766,116766,"1"
"account representative iv","british columbia","114436.00",114436,114436,"1"
"account representative iv","northwest","69807.00",69807,69807,"1"
"actuary","nova scotia","146024.00",146024,146024,"1"
"actuary","southwest","143570.00",143570,143570,"1"
"actuary","british columbia","102567.67",91994,119602,"3"
"administrative assistant i","southeast","103456.50",87816,119097,"2"
"administrative assistant ii","quebec","76063.00",76063,76063,"1"
"administrative assistant iii","southwest","86803.00",86803,86803,"1"
"administrative assistant iii","southeast","82244.00",82244,82244,"2"
"administrative assistant iv","southwest","43366.00",43366,43366,"1"
"administrative officer","southeast","128175.33",122540,130993,"3"
"administrative officer","quebec","86497.00",86497,86497,"1"
