"region_name","department_name","employee_count","avg_salary"
"southwest","other","19","91842.37"
"southeast","other","16","103804.50"
"nova scotia","other","14","101491.71"
"nova scotia","computers","14","94321.93"
"southwest","grocery","14","102812.14"
"southwest","kids","13","84579.85"
"quebec","health","12","112986.75"
"northeast","shoes","12","110109.42"
"british columbia","other","11","84595.73"
"southwest","electronics","11","100903.27"
"nova scotia","kids","11","90362.82"
"british columbia","sports","11","104068.91"
"northwest","other","11","99190.91"
"northeast","other","11","95240.18"
"nova scotia","health","11","84076.91"
"southeast","industrial","11","91673.64"
"northeast","tools","10","99129.00"
"southeast","automotive","10","87356.00"
"northeast","toys","10","88245.10"
"southeast","grocery","10","104992.10"
"southeast","electronics","10","91675.10"
"nova scotia","garden","10","105196.30"
"quebec","beauty","10","92427.20"
"nova scotia","electronics","10","115020.40"
"southwest","jewelery","10","111921.10"
"southeast","baby","10","87356.00"
"southeast","garden","10","100009.30"
"southwest","industrial","10","95441.90"
"southeast","games","10","73430.20"
"british columbia","clothing","10","87883.50"
"nova scotia","jewelery","9","83881.11"
"british columbia","shoes","9","114941.89"
"southeast","clothing","9","106141.00"
"northwest","computers","9","96553.33"
"northwest","shoes","9","107550.56"
"southwest","clothing","9","108565.56"
"british columbia","music","9","103047.33"
"northeast","sports","9","90590.78"
"northwest","garden","8","108321.63"
"southwest","games","8","107800.00"
"northeast","games","8","123960.63"
"northwest","baby","8","88433.50"
"southwest","computers","8","101388.25"
"northwest","automotive","8","88433.50"
"northeast","home","8","99088.75"
"southeast","health","8","121791.50"
"nova scotia","grocery","8","109369.00"
"southwest","outdoors","7","98547.57"
"southwest","sports","7","96606.71"
"southwest","automotive","7","103516.43"
"northwest","grocery","7","83583.00"
"northeast","outdoors","7","94321.86"
"quebec","computers","7","100065.57"
"southwest","home","7","117773.00"
"nova scotia","clothing","7","116432.43"
"southeast","tools","7","68050.29"
"british columbia","kids","7","81110.86"
"quebec","clothing","7","113304.14"
"northwest","industrial","7","108252.00"
"northwest","movies","7","104177.57"
"nova scotia","industrial","7","108034.14"
"southwest","baby","7","103516.43"
"northeast","clothing","7","87047.86"
"northeast","electronics","7","108543.86"
"nova scotia","beauty","7","110095.29"
"southeast","home","7","93409.86"
"southeast","jewelery","7","81205.71"
"northwest","jewelery","7","86112.00"
"northeast","beauty","7","89282.57"
"northwest","games","7","76277.71"
"nova scotia","home","7","108543.14"
"northeast","garden","7","99712.29"
"quebec","automotive","6","107268.17"
"quebec","baby","6","107268.17"
"northeast","music","6","110023.50"
"british columbia","jewelery","6","84710.17"
"northwest","toys","6","123323.17"
"british columbia","games","6","104454.33"
"quebec","other","6","84575.83"
"southwest","shoes","6","120456.17"
"quebec","electronics","6","76405.83"
"southwest","beauty","6","98103.00"
"quebec","industrial","6","80764.17"
"southeast","toys","6","98426.67"
"northeast","jewelery","6","101512.67"
"quebec","home","6","67397.83"
"southwest","music","6","83895.33"
"southwest","tools","6","96525.67"
"nova scotia","tools","6","107005.17"
"northeast","industrial","6","69964.83"
"nova scotia","games","6","74127.00"
"quebec","movies","6","124289.50"
"british columbia","movies","6","75918.50"
"quebec","garden","6","105782.00"
"southwest","movies","6","97265.50"
"british columbia","home","6","104156.50"
"southeast","sports","5","87448.00"
"nova scotia","toys","5","103515.20"
"nova scotia","sports","5","80859.00"
"quebec","music","5","88368.40"
"southeast","beauty","5","74331.60"
"british columbia","baby","5","129647.00"
"british columbia","outdoors","5","87900.40"
"northeast","computers","5","74997.40"
"northwest","sports","5","85163.60"
"northwest","outdoors","5","77147.00"
"southeast","movies","5","63014.20"
"northwest","health","5","104929.20"
"quebec","toys","5","129481.20"
"british columbia","computers","5","83229.60"
"quebec","shoes","5","96344.00"
"british columbia","garden","5","105063.60"
"nova scotia","automotive","5","93639.40"
"quebec","tools","5","98315.80"
"northeast","automotive","5","103716.80"
"british columbia","health","5","88279.80"
"nova scotia","baby","5","93639.40"
"northeast","baby","5","103716.80"
"northwest","home","5","98552.40"
"quebec","kids","5","91072.80"
"northwest","beauty","5","87568.60"
"british columbia","beauty","5","100137.60"
"southeast","computers","5","109140.60"
"british columbia","automotive","5","129647.00"
"british columbia","industrial","5","88199.80"
"nova scotia","outdoors","5","90406.20"
"quebec","outdoors","5","76192.60"
"quebec","games","4","73830.50"
"northwest","tools","4","92779.75"
"british columbia","electronics","4","107268.00"
"nova scotia","shoes","4","139920.75"
"northwest","clothing","4","113094.50"
"nova scotia","movies","4","89038.75"
"british columbia","grocery","4","88409.75"
"northwest","kids","4","104104.25"
"northeast","health","4","90535.75"
"southeast","music","4","125214.75"
"northeast","movies","4","89429.25"
"nova scotia","music","4","87874.75"
"southwest","toys","4","119848.75"
"northwest","electronics","4","82189.50"
"southeast","shoes","3","96925.00"
"southeast","outdoors","3","88816.67"
"northeast","kids","3","84256.33"
"southeast","kids","3","84502.33"
"british columbia","toys","3","79493.67"
"southwest","garden","3","104559.67"
"quebec","grocery","2","109790.00"
"northwest","music","2","123843.00"
"northeast","grocery","2","134771.00"
"quebec","jewelery","2","101819.00"
"british columbia","tools","2","102258.00"
"southwest","health","1","68034.00"
"quebec","sports","1","64443.00"
